date,AQI
1396/01/18,68
1396/01/19,72
1396/01/20,73
1396/01/21,92
1396/01/22,114
1396/01/23,85
1396/01/24,101
1396/01/25,103
1396/01/26,103
1396/01/27,56
1396/01/28,51
1396/01/29,65
1396/01/30,67
1396/01/31,47
1396/02/01,55
1396/02/02,62
1396/02/03,73
1396/02/04,68
1396/02/05,73
1396/02/06,75
1396/02/07,71
1396/02/08,51
1396/02/09,61
1396/02/10,54
1396/02/11,85
1396/02/12,92
1396/02/13,94
1396/02/14,75
1396/02/15,82
1396/02/16,62
1396/02/17,90
1396/02/18,68
1396/02/19,76
1396/02/20,61
1396/02/21,64
1396/02/22,68
1396/02/23,55
1396/02/24,82
1396/02/25,73
1396/02/26,103
1396/02/27,125
1396/02/28,77
1396/02/29,98
1396/02/30,75
1396/02/31,88
1396/03/01,88
1396/03/02,78
1396/03/03,69
1396/03/04,115
1396/03/05,88
1396/03/06,66
1396/03/07,124
1396/03/08,75
1396/03/09,85
1396/03/10,98
1396/03/11,81
1396/03/12,60
1396/03/13,67
1396/03/14,74
1396/03/15,67
1396/03/16,62
1396/03/17,60
1396/03/18,66
1396/03/19,85
1396/03/20,82
1396/03/21,85
1396/03/22,94
1396/03/23,74
1396/03/24,82
1396/03/25,91
1396/03/26,81
1396/03/27,76
1396/03/28,84
1396/03/29,100
1396/03/30,96
1396/03/31,108
1396/04/01,79
1396/04/02,73
1396/04/03,69
1396/04/04,91
1396/04/05,84
1396/04/06,89
1396/04/07,114
1396/04/08,128
1396/04/09,83
1396/04/10,93
1396/04/11,104
1396/04/12,84
1396/04/13,86
1396/04/14,94
1396/04/15,90
1396/04/16,81
1396/04/17,82
1396/04/18,101
1396/04/19,99
1396/04/20,96
1396/04/21,102
1396/04/22,89
1396/04/23,79
1396/04/24,91
1396/04/25,94
1396/04/26,86
1396/04/27,94
1396/04/28,83
1396/04/29,91
1396/04/30,98
1396/04/31,113
1396/05/01,99
1396/05/02,92
1396/05/03,70
1396/05/04,73
1396/05/05,77
1396/05/06,79
1396/05/07,74
1396/05/08,81
1396/05/09,84
1396/05/10,108
1396/05/11,94
1396/05/12,114
1396/05/13,99
1396/05/14,85
1396/05/15,85
1396/05/16,88
1396/05/17,89
1396/05/18,80
1396/05/19,105
1396/05/20,78
1396/05/21,88
1396/05/22,82
1396/05/23,101
1396/05/24,98
1396/05/25,93
1396/05/26,93
1396/05/27,98
1396/05/28,109
1396/05/29,94
1396/05/30,79
1396/05/31,80
1396/06/01,77
1396/06/02,81
1396/06/03,92
1396/06/04,94
1396/06/05,82
1396/06/06,80
1396/06/07,76
1396/06/08,82
1396/06/09,95
1396/06/10,114
1396/06/11,82
1396/06/12,85
1396/06/13,79
1396/06/14,82
1396/06/15,79
1396/06/16,84
1396/06/17,94
1396/06/18,97
1396/06/19,98
1396/06/20,94
1396/06/21,88
1396/06/22,98
1396/06/23,87
1396/06/24,86
1396/06/25,81
1396/06/26,91
1396/06/27,84
1396/06/28,85
1396/06/29,83
1396/06/30,84
1396/06/31,85
1396/07/01,86
1396/07/02,88
1396/07/03,74
1396/07/04,89
1396/07/05,99
1396/07/06,91
1396/07/07,89
1396/07/08,67
1396/07/09,49
1396/07/10,83
1396/07/11,70
1396/07/12,79
1396/07/13,70
1396/07/14,83
1396/07/15,91
1396/07/16,85
1396/07/17,80
1396/07/18,97
1396/07/19,82
1396/07/20,79
1396/07/21,92
1396/07/22,54
1396/07/23,87
1396/07/24,87
1396/07/25,81
1396/07/26,80
1396/07/27,87
1396/07/28,77
1396/07/29,80
1396/07/30,88
1396/08/01,106
1396/08/02,97
1396/08/03,102
1396/08/04,114
1396/08/05,121
1396/08/06,117
1396/08/07,120
1396/08/08,123
1396/08/09,115
1396/08/10,112
1396/08/11,110
